Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Study_Efficiency
23,84,1,3,0,7,73,1,1,0,1,2.0,0,1,3,0,1.0,1.0,1,67,2.875
19,64,1,2,0,8,59,1,1,2,2,2.0,0,-1,4,0,2.0,2.0,0,61,2.111111111111111
24,98,2,2,1,7,91,2,1,2,2,2.0,0,0,4,0,3.0,1.0,1,74,3.0
29,89,1,2,1,8,98,2,1,1,2,2.0,0,-1,4,0,1.0,2.0,1,71,3.2222222222222223
19,92,2,2,1,6,65,2,1,3,2,3.0,0,0,4,0,2.0,1.0,0,70,2.7142857142857144
19,88,2,2,1,8,89,2,1,3,2,2.0,0,1,3,0,3.0,1.0,1,71,2.111111111111111
29,84,2,1,1,7,68,1,1,1,1,2.0,1,0,2,0,1.0,2.0,1,67,3.625
25,78,1,3,1,6,50,2,1,1,3,3.0,0,-1,2,0,1.0,3.0,1,66,3.5714285714285716
17,94,2,3,0,6,80,3,1,0,2,1.0,1,0,1,0,2.0,1.0,1,69,2.4285714285714284
23,98,2,2,1,8,71,2,1,0,3,3.0,0,1,5,0,1.0,2.0,1,72,2.5555555555555554
17,80,1,3,0,8,88,2,0,4,2,3.0,1,0,4,0,2.0,2.0,1,68,1.8888888888888888
17,97,2,3,1,6,87,1,1,2,1,3.0,1,0,2,0,1.0,1.0,1,71,2.4285714285714284
21,83,2,2,1,8,97,1,1,2,2,2.0,0,1,4,0,1.0,1.0,1,70,2.3333333333333335
9,82,2,2,1,8,72,2,1,2,2,2.0,1,1,3,0,3.0,1.0,1,66,1.0
10,78,2,3,1,8,74,2,1,1,1,2.0,1,0,4,0,3.0,1.0,1,65,1.1111111111111112
17,68,2,2,0,8,70,2,1,2,2,2.0,1,1,4,0,1.0,1.0,0,64,1.8888888888888888
14,60,2,1,1,10,65,1,1,0,3,2.0,1,1,3,0,2.0,1.0,1,60,1.2727272727272727
22,70,1,2,1,6,82,2,1,1,1,3.0,0,0,3,0,1.0,1.0,0,65,3.142857142857143
15,80,2,2,1,9,91,1,1,3,1,2.0,0,1,2,0,2.0,2.0,0,67,1.5
12,75,2,3,1,7,58,2,1,3,2,2.0,1,1,4,0,2.0,1.0,1,66,1.5
29,78,2,2,0,5,99,3,1,0,3,2.0,0,-1,1,0,1.0,2.0,0,69,4.833333333333333
19,99,2,3,0,6,84,2,1,1,2,3.0,0,0,3,0,1.0,1.0,1,72,2.7142857142857144
20,74,2,3,0,8,89,1,1,1,2,2.0,0,-1,2,0,2.0,2.0,0,66,2.2222222222222223
11,78,3,2,1,8,100,3,1,1,1,2.0,0,0,3,0,1.0,2.0,1,66,1.2222222222222223
17,65,1,3,1,5,75,2,1,2,1,2.0,0,1,3,0,1.0,1.0,0,63,2.8333333333333335
21,62,3,1,1,6,54,3,1,0,3,3.0,0,1,3,0,3.0,3.0,1,64,3.0
13,91,1,2,0,6,90,2,1,1,3,2.0,0,-1,2,1,1.0,2.0,0,65,1.8571428571428572
22,83,3,3,1,6,94,2,1,0,3,2.0,0,0,2,0,2.0,2.0,1,71,3.142857142857143
16,90,2,2,0,4,58,2,1,1,1,2.0,0,0,3,0,1.0,2.0,0,66,3.2
18,66,3,3,0,4,51,1,1,2,1,2.0,1,0,2,0,2.0,1.0,1,64,3.6
16,83,1,2,0,6,57,2,1,0,3,1.0,0,1,4,1,1.0,1.0,0,63,2.2857142857142856
31,70,2,3,1,7,66,2,1,1,3,2.0,0,-1,3,0,2.0,1.0,1,69,3.875
20,69,2,2,1,8,96,2,1,2,2,3.0,0,1,3,0,1.0,1.0,1,67,2.2222222222222223
14,60,3,2,0,5,50,2,1,2,2,2.0,0,0,3,0,2.0,1.0,0,61,2.3333333333333335
25,65,3,2,0,5,90,2,1,2,2,2.0,0,1,3,0,2.0,2.0,0,68,4.166666666666667
13,72,1,2,0,6,93,1,1,1,1,2.0,0,-1,3,0,1.0,1.0,1,61,1.8571428571428572
21,65,2,1,1,7,91,1,1,2,2,3.0,0,1,3,0,1.0,3.0,0,64,2.625
8,99,2,2,0,9,54,1,1,2,1,2.0,0,0,5,0,3.0,1.0,0,67,0.8
12,72,1,2,1,8,84,2,1,1,1,2.0,0,1,5,0,1.0,1.0,0,63,1.3333333333333333
21,65,1,2,1,6,98,1,1,1,2,3.0,0,-1,4,0,1.0,1.0,1,64,3.0
24,68,3,2,0,8,56,1,1,3,3,3.0,0,0,1,0,2.0,1.0,1,67,2.6666666666666665
21,84,2,2,1,6,52,1,1,1,2,3.0,0,0,2,1,2.0,3.0,0,65,3.0
19,63,1,3,0,7,94,2,1,1,2,2.0,1,1,3,0,1.0,2.0,1,64,2.375
18,94,2,3,1,7,82,2,1,3,2,2.0,1,-1,2,1,2.0,1.0,1,70,2.25
11,98,2,2,1,9,82,1,1,1,2,2.0,1,1,3,0,3.0,3.0,1,68,1.1
16,70,2,2,1,8,98,2,1,2,2,2.0,0,1,3,0,1.0,2.0,1,65,1.7777777777777777
17,78,2,2,1,6,88,2,1,1,2,3.0,1,1,3,0,2.0,1.0,0,68,2.4285714285714284
26,61,2,1,1,6,70,2,1,2,1,2.0,0,1,3,0,1.0,2.0,0,64,3.7142857142857144
